,Year,Manufacturer,Model,barrels08,charge240,cityA08U,cityCD,cityE,cityUF,co2A,combA08U,combE,combinedCD,combinedUF,cylinders,feScore,fuelCostA08,fuelType2,ghgScoreA,highwayA08U,highwayCD,highwayE,highwayUF,id,phevBlended,charge240b
157,2014,Ford,Focus Electric,0.0768,3.0,110.0,0.0,31.0,0.0,0.0,104.0,32.0,0.0,0.0,,10,650.0,Electricity,10,98.0,0.0,34.0,0.0,34130,False,0.0
158,2015,Kia,Soul Electric,0.0768,4.0,119.0,0.0,28.0,0.0,0.0,105.0,31.0,0.0,0.0,,10,650.0,Electricity,10,92.0,0.0,36.0,0.0,35601,False,0.0
159,2015,Mercedes-Benz,B-Class Electric Drive,0.096,3.0,85.0,0.0,39.0,0.0,0.0,83.0,40.0,0.0,0.0,,10,850.0,Electricity,10,81.0,0.0,41.0,0.0,35960,False,0.0
160,2016,Volkswagen,e-Golf,0.0696,3.0,125.0,0.0,26.0,0.0,0.0,115.0,29.0,0.0,0.0,,10,600.0,Electricity,10,105.0,0.0,32.0,0.0,36834,False,7.0
161,2023,Hyundai,Ioniq 6 Long range AWD (18 inch Wheels),0.0672,7.0,130.0,0.0,26.0,0.0,0.0,121.0,28.0,0.0,0.0,,10,600.0,Electricity,10,111.0,0.0,29.0,0.0,46620,False,0.0
162,2023,Hyundai,Ioniq 6 Long range RWD (18 inch Wheels),0.0576,7.0,153.0,0.0,21.0,0.0,0.0,140.0,23.0,0.0,0.0,,10,500.0,Electricity,10,127.0,0.0,27.0,0.0,46622,False,0.0
163,2023,Hyundai,Ioniq 6 Long range RWD (20 inch Wheels),0.0696,7.0,129.0,0.0,26.0,0.0,0.0,117.0,29.0,0.0,0.0,,10,600.0,Electricity,10,105.0,0.0,32.0,0.0,46623,False,0.0
164,2017,Kia,Optima Plug-in Hybrid,3.224983201,2.0,102.0,0.0,33.0,0.0,-1.0,103.0,33.0,0.0,0.0,4.0,10,0.0,Electricity,-1,104.0,0.0,32.0,0.0,38406,True,0.0
165,2017,Ford,C-MAX Energi Plug-In Hybrid,4.099308238,2.0,103.0,0.0,33.0,0.0,-1.0,95.0,35.0,0.0,0.0,4.0,10,0.0,Electricity,-1,86.0,0.0,38.0,0.0,38506,True,0.0
166,2017,Cadillac,CT6 Plug-In,4.925934656,4.0,56.0,0.0,59.0,0.0,-1.0,62.0,54.0,0.0,0.0,4.0,9,0.0,Electricity,-1,70.0,0.0,48.0,0.0,38650,True,0.0
167,2018,Chevrolet,Volt,1.739975182,4.0,113.0,0.0,29.0,0.0,-1.0,106.0,31.0,0.0,0.0,4.0,10,650.0,Electricity,-1,99.0,0.0,34.0,0.0,39190,False,0.0
168,2018,Kia,Niro Plug-in Hybrid,3.023125631,2.0,109.0,0.0,30.0,0.0,-1.0,104.0,32.0,0.0,0.0,4.0,10,0.0,Electricity,-1,99.0,0.0,34.0,0.0,39799,True,0.0
169,2018,Toyota,Prius Prime,2.629784508,2.0,145.0,0.0,23.0,0.0,-1.0,133.0,25.0,0.0,0.0,4.0,10,0.0,Electricity,-1,121.0,0.0,28.0,0.0,39882,True,0.0
170,2019,BMW,530e,6.484951266,2.0,69.0,0.0,47.0,0.0,-1.0,72.0,46.0,0.0,0.0,4.0,8,0.0,Electricity,-1,75.0,0.0,45.0,0.0,40556,True,0.0
171,2019,Ford,Fusion Energi Plug-in Hybrid,3.334899543,2.0,108.0,0.0,31.0,0.0,-1.0,103.0,33.0,0.0,0.0,4.0,10,0.0,Electricity,-1,97.0,0.0,35.0,0.0,40809,True,0.0
