Year,Manufacturer,Model,barrels08,charge240,city08U,cityCD,cityE,cityUF,co2,comb08U,combE,combinedCD,combinedUF,cylinders,feScore,fuelCost08,fuelType1,ghgScore,highway08U,highwayCD,highwayE,highwayUF,id,phevBlended,charge240b
2017,MINI,Cooper S Countryman All4,11.44269231,0.0,22.0,0.0,0.0,0.0,346.0,25.0,0.0,0.0,0.0,4.0,6,2500.0,Premium Gasoline,6,30.0,0.0,0.0,0.0,38562,False,0.0
2018,Audi,A5 Sportback quattro,11.01888889,0.0,23.0,0.0,0.0,0.0,327.0,27.0,0.0,0.0,0.0,4.0,6,2400.0,Premium Gasoline,6,33.0,0.0,0.0,0.0,38576,False,0.0
2018,BMW,430i Coupe,11.01888889,0.0,23.0,0.0,0.0,0.0,324.0,27.0,0.0,0.0,0.0,4.0,6,2400.0,Premium Gasoline,6,34.0,0.0,0.0,0.0,38612,False,0.0
2018,BMW,430i Gran Coupe,11.01888889,0.0,23.0,0.0,0.0,0.0,324.0,27.0,0.0,0.0,0.0,4.0,6,2400.0,Premium Gasoline,6,34.0,0.0,0.0,0.0,38615,False,0.0
2018,BMW,440i Coupe,11.9004,0.0,21.0,0.0,0.0,0.0,352.0,25.0,0.0,0.0,0.0,6.0,5,2600.0,Premium Gasoline,5,32.0,0.0,0.0,0.0,38617,False,0.0
2018,BMW,440i xDrive Coupe,12.93521739,0.0,19.0,0.0,0.0,0.0,390.0,22.0,0.0,0.0,0.0,6.0,5,2850.0,Premium Gasoline,5,28.0,0.0,0.0,0.0,38619,False,0.0
2018,BMW,M6 Gran Coupe,18.594375,0.0,13.0,0.0,0.0,0.0,553.0,16.0,0.0,0.0,0.0,8.0,2,4100.0,Premium Gasoline,2,20.0,0.0,0.0,0.0,38630,False,0.0
2018,Subaru,WRX,15.65842105,0.0,16.0,0.0,0.0,0.0,471.0,18.0,0.0,0.0,0.0,4.0,3,3450.0,Premium Gasoline,3,22.0,0.0,0.0,0.0,38641,False,0.0
2017,Cadillac,CT6 Plug-In,4.925934656,4.0,23.0,0.0,59.0,0.0,144.0,25.0,54.0,0.0,0.0,4.0,9,2500.0,Premium Gasoline,10,29.0,0.0,48.0,0.0,38650,True,0.0
2018,Jaguar,XE AWD,12.93521739,0.0,19.0,0.0,0.0,0.0,383.0,23.0,0.0,0.0,0.0,6.0,5,2850.0,Premium Gasoline,5,28.0,0.0,0.0,0.0,38660,False,0.0
2018,Toyota,C-HR,10.25896552,0.0,27.0,0.0,0.0,0.0,305.0,28.0,0.0,0.0,0.0,4.0,6,1850.0,Regular Gasoline,6,31.0,0.0,0.0,0.0,38679,False,0.0
2018,Hyundai,Elantra,10.25896552,0.0,25.0,0.0,0.0,0.0,301.0,29.0,0.0,0.0,0.0,4.0,6,1850.0,Regular Gasoline,6,35.0,0.0,0.0,0.0,38681,False,0.0
2018,Audi,A6,10.62535714,0.0,25.0,0.0,0.0,0.0,311.0,28.0,0.0,0.0,0.0,4.0,6,2350.0,Premium Gasoline,6,34.0,0.0,0.0,0.0,38713,False,0.0
2018,Volvo,V60 Polestar AWD,13.52318182,0.0,19.0,0.0,0.0,0.0,393.0,22.0,0.0,0.0,0.0,4.0,4,2950.0,Premium Gasoline,4,27.0,0.0,0.0,0.0,38763,False,0.0
2017,Honda,Civic Si 2Dr,9.2971875,0.0,27.0,0.0,0.0,0.0,279.0,31.0,0.0,0.0,0.0,4.0,7,2050.0,Premium Gasoline,7,37.0,0.0,0.0,0.0,38771,False,0.0
2018,Toyota,Yaris,9.015454545,0.0,30.0,0.0,0.0,0.0,271.0,32.0,0.0,0.0,0.0,4.0,8,1600.0,Regular Gasoline,8,36.0,0.0,0.0,0.0,38779,False,0.0
2018,Toyota,Avalon Hybrid,7.43775,0.0,40.0,0.0,0.0,0.0,223.0,39.0,0.0,0.0,0.0,4.0,9,1350.0,Regular Gasoline,9,38.0,0.0,0.0,0.0,38786,False,0.0
2018,Toyota,Avalon,12.39625,0.0,20.0,0.0,0.0,0.0,366.0,24.0,0.0,0.0,0.0,6.0,5,2200.0,Regular Gasoline,5,30.0,0.0,0.0,0.0,38787,False,0.0
2018,Volvo,S90 AWD,11.44269231,0.0,23.0,0.0,0.0,0.0,340.0,26.0,0.0,0.0,0.0,4.0,5,2500.0,Premium Gasoline,5,31.0,0.0,0.0,0.0,38790,False,0.0
2018,Volvo,V90 AWD,11.9004,0.0,21.0,0.0,0.0,0.0,354.0,24.0,0.0,0.0,0.0,4.0,5,2600.0,Premium Gasoline,5,31.0,0.0,0.0,0.0,38799,False,0.0
2018,Subaru,Legacy AWD,10.25896552,0.0,25.0,0.0,0.0,0.0,311.0,28.0,0.0,0.0,0.0,4.0,6,1850.0,Regular Gasoline,6,33.0,0.0,0.0,0.0,38853,False,0.0
2018,Subaru,Legacy AWD,12.93521739,0.0,19.0,0.0,0.0,0.0,387.0,22.0,0.0,0.0,0.0,6.0,5,2300.0,Regular Gasoline,5,28.0,0.0,0.0,0.0,38854,False,0.0
2018,Mazda,3 4-Door,9.597096774,0.0,27.0,0.0,0.0,0.0,283.0,31.0,0.0,0.0,0.0,4.0,7,1700.0,Regular Gasoline,7,36.0,0.0,0.0,0.0,38867,False,0.0
2018,Mazda,3 4-Door,9.917,0.0,26.0,0.0,0.0,0.0,293.0,30.0,0.0,0.0,0.0,4.0,7,1750.0,Regular Gasoline,7,35.0,0.0,0.0,0.0,38868,False,0.0
2018,Mazda,3 5-Door,9.597096774,0.0,27.0,0.0,0.0,0.0,286.0,30.0,0.0,0.0,0.0,4.0,7,1700.0,Regular Gasoline,7,36.0,0.0,0.0,0.0,38873,False,0.0
2018,Mazda,3 5-Door,9.2971875,0.0,28.0,0.0,0.0,0.0,280.0,31.0,0.0,0.0,0.0,4.0,7,1650.0,Regular Gasoline,7,36.0,0.0,0.0,0.0,38874,False,0.0
2018,Toyota,Camry,8.750294118,0.0,29.0,0.0,0.0,0.0,264.0,33.0,0.0,0.0,0.0,4.0,8,1550.0,Regular Gasoline,8,41.0,0.0,0.0,0.0,38880,False,0.0
