Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
United States,natural_gas,2013,26.805134425,24.859072419,17329.82,316569.0,306.8055880898003,5.604509349548928,1371.560957
United States,petroleum_n_other_liquids,2013,35.700419105,19.323712867,17329.82,316569.0,306.8055880898003,5.604509349548928,2206.888316
United States,nuclear,2013,8.244433126,8.244433126,17329.82,316569.0,306.8055880898003,5.604509349548928,0.0
United States,renewables_n_other,2013,9.45896244,9.432722028,17329.82,316569.0,306.8055880898003,5.604509349548928,0.0
United States,all_energy_types,2014,98.288040858,87.748007623,17726.25,319083.2,308.0326411982831,5.544773477639095,5358.870231
United States,coal,2014,17.997632024,20.285705302,17726.25,319083.2,308.0326411982831,5.544773477639095,1717.844544
United States,natural_gas,2014,27.382832545,26.718072525,17726.25,319083.2,308.0326411982831,5.544773477639095,1408.379797
United States,petroleum_n_other_liquids,2014,35.977828212,22.617902362,17726.25,319083.2,308.0326411982831,5.544773477639095,2232.64589
United States,nuclear,2014,8.337559005,8.337559005,17726.25,319083.2,308.0326411982831,5.544773477639095,0.0
United States,renewables_n_other,2014,9.752190324,9.788768429,17726.25,319083.2,308.0326411982831,5.544773477639095,0.0
United States,all_energy_types,2015,97.392089079,88.28046717,18206.03,321618.0,302.8191490494935,5.349441315816793,5413.878798
United States,coal,2015,15.548870189,17.946094536,18206.03,321618.0,302.8191490494935,5.349441315816793,1713.367094
United States,natural_gas,2015,28.191094829,28.066881906,18206.03,321618.0,302.8191490494935,5.349441315816793,1437.536155
United States,petroleum_n_other_liquids,2015,36.740258367,24.176731105,18206.03,321618.0,302.8191490494935,5.349441315816793,2262.975549
United States,nuclear,2015,8.336886237,8.336886237,18206.03,321618.0,302.8191490494935,5.349441315816793,0.0
United States,renewables_n_other,2015,9.73741173,9.753873386,18206.03,321618.0,302.8191490494935,5.349441315816793,0.0
United States,all_energy_types,2016,97.363340787,84.316450522,18509.63,324117.8,300.3949205720883,5.260145166975245,5262.075715
United States,coal,2016,14.225904563,14.667088668,18509.63,324117.8,300.3949205720883,5.260145166975245,1481.89792
United States,natural_gas,2016,28.400351852,27.576023261,18509.63,324117.8,300.3949205720883,5.260145166975245,1478.884313
