Unnamed: 0,Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
16568,United States,natural_gas,1991,20.032957501,18.228736464,9800.43,252831.2,333.7416429657416,8.609856922706452,1026.254421
16569,United States,petroleum_n_other_liquids,1991,32.862616797,17.965987247,9800.43,252831.2,333.7416429657416,8.609856922706452,2191.619509
16570,United States,nuclear,1991,6.422132372,6.422132372,9800.43,252831.2,333.7416429657416,8.609856922706452,0.0
16571,United States,renewables_n_other,1991,6.067785027,6.067785029,9800.43,252831.2,333.7416429657416,8.609856922706452,0.0
17952,United States,all_energy_types,1992,85.724885062,69.914443075,10145.66,256391.2,334.3519007750656,8.449414336967727,4992.684743
17953,United States,coal,1992,19.122471284,21.694132423,10145.66,256391.2,334.3519007750656,8.449414336967727,1805.942037
17954,United States,natural_gas,1992,20.713632015,18.375100204,10145.66,256391.2,334.3519007750656,8.449414336967727,1047.755702
17955,United States,petroleum_n_other_liquids,1992,33.55124763,17.545447913,10145.66,256391.2,334.3519007750656,8.449414336967727,2138.987004
17956,United States,nuclear,1992,6.479206249,6.479206249,10145.66,256391.2,334.3519007750656,8.449414336967727,0.0
17957,United States,renewables_n_other,1992,5.820556282,5.820556286,10145.66,256391.2,334.3519007750656,8.449414336967727,0.0
19338,United States,all_energy_types,1993,87.265887618,68.272677806,10424.87,259809.5,335.8841290176071,8.37093293422364,5093.879398
19339,United States,coal,1993,19.835147797,20.3356537,10424.87,259809.5,335.8841290176071,8.37093293422364,1821.880293
19340,United States,natural_gas,1993,21.228999703,18.584037028,10424.87,259809.5,335.8841290176071,8.37093293422364,1083.261526
19341,United States,petroleum_n_other_liquids,1993,33.68525793,16.86057939,10424.87,259809.5,335.8841290176071,8.37093293422364,2188.737579
19342,United States,nuclear,1993,6.410498911,6.410498911,10424.87,259809.5,335.8841290176071,8.37093293422364,0.0
19343,United States,renewables_n_other,1993,6.081634786,6.081908777,10424.87,259809.5,335.8841290176071,8.37093293422364,0.0
20724,United States,all_energy_types,1994,88.98323406,70.68306405,10844.82,263017.8,338.31639554433195,8.205137020254831,5185.520158
20725,United States,coal,1994,19.909462622,22.202083315,10844.82,263017.8,338.31639554433195,8.205137020254831,1881.678193
20726,United States,natural_gas,1994,21.728066828,19.348013257,10844.82,263017.8,338.31639554433195,8.205137020254831,1110.705363
20727,United States,petroleum_n_other_liquids,1994,34.562795501,16.451948662,10844.82,263017.8,338.31639554433195,8.205137020254831,2193.136602
20728,United States,nuclear,1994,6.693877124,6.693877124,10844.82,263017.8,338.31639554433195,8.205137020254831,0.0
20729,United States,renewables_n_other,1994,5.987141691,5.987141692,10844.82,263017.8,338.31639554433195,8.205137020254831,0.0
22110,United States,all_energy_types,1995,90.930704011,71.129139933,11135.92,266179.2,341.6146115511655,8.165531362563668,5262.663333
22111,United States,coal,1995,20.088726842,22.129550192,11135.92,266179.2,341.6146115511655,8.165531362563668,1892.224707
22112,United States,natural_gas,1995,22.671138742,19.082244944,11135.92,266179.2,341.6146115511655,8.165531362563668,1136.048048
22113,United States,petroleum_n_other_liquids,1995,34.458440187,16.284600272,11135.92,266179.2,341.6146115511655,8.165531362563668,2234.390578
22114,United States,nuclear,1995,7.075436106,7.075436106,11135.92,266179.2,341.6146115511655,8.165531362563668,0.0
22115,United States,renewables_n_other,1995,6.559368541,6.557308419,11135.92,266179.2,341.6146115511655,8.165531362563668,0.0
23496,United States,all_energy_types,1996,93.934510891,72.435221336,11556.02,269310.5,348.79631834258225,8.128621349824593,5324.311399
23497,United States,coal,1996,21.00191449,22.790148084,11556.02,269310.5,348.79631834258225,8.128621349824593,1912.142841
23498,United States,natural_gas,1996,23.084647038,19.344268184,11556.02,269310.5,348.79631834258225,8.128621349824593,1185.442673
23499,United States,petroleum_n_other_liquids,1996,35.673079944,16.20324206,11556.02,269310.5,348.79631834258225,8.128621349824593,2226.725885
23500,United States,nuclear,1996,7.086673918,7.086673918,11556.02,269310.5,348.79631834258225,8.128621349824593,0.0
23501,United States,renewables_n_other,1996,7.012394296,7.01088909,11556.02,269310.5,348.79631834258225,8.128621349824593,0.0
24882,United States,all_energy_types,1997,94.50699934,72.420085173,12069.94,272559.2,346.7393481489526,7.829947732963047,5518.030044
24883,United States,coal,1997,21.445410997,23.30961402,12069.94,272559.2,346.7393481489526,7.829947732963047,1994.532207
24884,United States,natural_gas,1997,23.222716326,19.393850734,12069.94,272559.2,346.7393481489526,7.829947732963047,1206.743953
24885,United States,petroleum_n_other_liquids,1997,36.171674983,16.102818276,12069.94,272559.2,346.7393481489526,7.829947732963047,2316.753884
24886,United States,nuclear,1997,6.59699193,6.59699193,12069.94,272559.2,346.7393481489526,7.829947732963047,0.0
24887,United States,renewables_n_other,1997,7.014122341,7.016810213,12069.94,272559.2,346.7393481489526,7.829947732963047,0.0
26268,United States,all_energy_types,1998,94.920189837,72.826461299,12610.85,275762.2,344.2103008933059,7.526866931015752,5589.322021
26269,United States,coal,1998,21.6557439,24.045198439,12610.85,275762.2,344.2103008933059,7.526866931015752,2038.849018
26270,United States,natural_gas,1998,22.830226191,19.613294781,12610.85,275762.2,344.2103008933059,7.526866931015752,1213.776148
26271,United States,petroleum_n_other_liquids,1998,36.83754386,15.607424388,12610.85,275762.2,344.2103008933059,7.526866931015752,2336.696855
26272,United States,nuclear,1998,7.067808773,7.067808773,12610.85,275762.2,344.2103008933059,7.526866931015752,0.0
26273,United States,renewables_n_other,1998,6.491295605,6.492734918,12610.85,275762.2,344.2103008933059,7.526866931015752,0.0
27654,United States,all_energy_types,1999,96.544524442,71.685640563,13215.49,278941.5,346.1102935274959,7.3054063407410545,5636.733477
27655,United States,coal,1999,21.622543711,23.29508389,13215.49,278941.5,346.1102935274959,7.3054063407410545,2063.632658
27656,United States,natural_gas,1999,22.909227438,19.340702641,13215.49,278941.5,346.1102935274959,7.3054063407410545,1191.31701
